sample_id,frame_id,scenario_id,view_id,traffic_light_id,n_inview,n_inview_veh,n_inview_ped,density_bin,gt_dist_mean_m,gt_dist_min_m,gt_speed_mean_mps,gt_speed_max_mps,frac_parked,frac_moving,camera_x,camera_y,regime,sample_index,trajectory_window_index,trajectory_group,partition,class_mix,vulnerable_present,nearest_range,reference_low_confidence_or_miss,small_object_present,edge_truncated_present
moving_ego_pps200000_low_8loops_stride2_000025_frame82094,82094,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,38.706,38.706,0.0,0.0,1.0,0.0,-70.36490631103516,24.500646591186523,moving_ego_pps200000_low_8loops_stride2,25,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,absent,present
moving_ego_pps200000_low_8loops_stride2_000026_frame82096,82096,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,38.634,38.634,0.0,0.0,1.0,0.0,-70.20710754394531,24.501319885253903,moving_ego_pps200000_low_8loops_stride2,26,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,absent,present
moving_ego_pps200000_low_8loops_stride2_000045_frame82134,82134,moving_ego_training,autopilot_spawn80,,3,3,0,3-4,34.296,30.172,4.91,7.389,0.333,0.667,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,45,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,present,absent
moving_ego_pps200000_low_8loops_stride2_000049_frame82142,82142,moving_ego_training,autopilot_spawn80,,3,3,0,3-4,30.96,25.663,4.897,7.398,0.333,0.667,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,49,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,absent,present
moving_ego_pps200000_low_8loops_stride2_000055_frame82154,82154,moving_ego_training,autopilot_spawn80,,3,3,0,3-4,27.59,20.779,4.918,7.413,0.333,0.667,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,55,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,12_25m,present,absent,present
moving_ego_pps200000_low_8loops_stride2_000066_frame82176,82176,moving_ego_training,autopilot_spawn80,,2,2,0,1-2,33.817,31.731,5.292,7.431,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,66,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,absent,present
moving_ego_pps200000_low_8loops_stride2_000068_frame82180,82180,moving_ego_training,autopilot_spawn80,,2,2,0,1-2,34.348,33.995,5.6,7.413,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,68,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,absent,present
moving_ego_pps200000_low_8loops_stride2_000070_frame82184,82184,moving_ego_training,autopilot_spawn80,,2,2,0,1-2,34.835,33.305,5.872,7.404,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,70,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,absent,absent,present
moving_ego_pps200000_low_8loops_stride2_000077_frame82198,82198,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,28.03,28.03,5.577,5.577,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,77,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,gt_25m,present,absent,absent
moving_ego_pps200000_low_8loops_stride2_000083_frame82210,82210,moving_ego_training,autopilot_spawn80,,1,1,0,1-2,22.501,22.501,7.332,7.332,0.0,1.0,-70.2176742553711,24.50134658813477,moving_ego_pps200000_low_8loops_stride2,83,0,moving_ego_pps200000_low_8loops_stride2::loop0,discovery,vehicle_only,absent,12_25m,absent,absent,absent
