episode_id,run_group,scenario_family,split,ground_truth_path,prediction_path,ground_truth_sha256,prediction_sha256
20260714_220434_front_fusion_ego_41,convoy_20,convoy_20,train,staleness/metrics_logs/scenesense_runs/20260714_220434_front_fusion_ego_41/streams/fusion_ego_41_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_220434_front_fusion_ego_41/streams/fusion_ego_41_object_predictions.csv,fd4dd87a9d9270ff0c08367dfa88c5890bd6d2f8a4d28134e51d6fddbd171b45,09b84c680129d19d72c2f69533283b609f5ec597257249fcf61cb9f411ba49d9
20260714_220559_front_fusion_ego_45,convoy_dbg,convoy_dbg,train,staleness/metrics_logs/scenesense_runs/20260714_220559_front_fusion_ego_45/streams/fusion_ego_45_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_220559_front_fusion_ego_45/streams/fusion_ego_45_object_predictions.csv,d7708dc21691b22c2162a107795fd774855ff505a8686954e9ff52313c94a1eb,6b764ce5cdb46709f47353b8efb75c8ab33adeaa097eb24a654df33dcac7edbe
20260714_221139_front_fusion_ego_49,parked_car20,parked_car20,train,staleness/metrics_logs/scenesense_runs/20260714_221139_front_fusion_ego_49/streams/fusion_ego_49_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_221139_front_fusion_ego_49/streams/fusion_ego_49_object_predictions.csv,e68b8f1e3ad942c1cc385e8cedbf200139729baa3323f166839f2c1d547acb9d,c9c03215c7ead44072dfc5344382f37f9daf6b1613d89ef8656d0b2df7825326
20260714_221545_front_fusion_ego_53,parked_npc,parked_npc,train,staleness/metrics_logs/scenesense_runs/20260714_221545_front_fusion_ego_53/streams/fusion_ego_53_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_221545_front_fusion_ego_53/streams/fusion_ego_53_object_predictions.csv,05a4e2e3f21f47891c85d955a53ded9e16d0b41477a939ea65371c16ad44f931,053c7bb270038e112cb5be88cba01e343c68ee1e60924caa39be4c496c0e1ed8
20260714_221836_front_fusion_tl_14,pole_npc,pole_npc,train,staleness/metrics_logs/scenesense_runs/20260714_221836_front_fusion_tl_14/streams/fusion_tl_14_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_221836_front_fusion_tl_14/streams/fusion_tl_14_object_predictions.csv,c77f352972291f45355c25e24dc5c665d4448175c58db7a334ccd14548afefe4,7eb8b1c3eb5c3490d7d3d06cc83c2478e9ba0dcfbdeb9870711752a4a41b4c48
20260714_223011_front_fusion_tl_14,pole_npc_dense,pole_npc_dense,train,staleness/metrics_logs/scenesense_runs/20260714_223011_front_fusion_tl_14/streams/fusion_tl_14_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_223011_front_fusion_tl_14/streams/fusion_tl_14_object_predictions.csv,c5b25efd7f4f4ee87989cf6c12c83a0a36ca93f1c494352da367d70ef67fcf87,dcffd85bfe8837a78ad13343bc3ab2ace4acb161cd8394a22385e673062592ac
20260714_232744_front_fusion_tl_14,fps_5,pole_fps,train,staleness/metrics_logs/scenesense_runs/20260714_232744_front_fusion_tl_14/streams/fusion_tl_14_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_232744_front_fusion_tl_14/streams/fusion_tl_14_object_predictions.csv,ebf27941cb520f3b9e124202f2895b38dbeb6f8379a340b938846c4dd6aa469d,0e4b8f31eb6cb16cc0ea2d4231ce78188f9f5f0d16a8d8aa20219def2146ff63
20260714_232813_front_fusion_tl_14,fps_10,pole_fps,train,staleness/metrics_logs/scenesense_runs/20260714_232813_front_fusion_tl_14/streams/fusion_tl_14_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_232813_front_fusion_tl_14/streams/fusion_tl_14_object_predictions.csv,3c0ac9f514f13910b5003dd696d1ba6a2abc07ffffad0f8f105dfbfe03bf1148,be38b73e72436031004407a47722bff92e428d1ccdd51135b85ce2fbd2a86b80
20260714_232855_front_fusion_tl_14,fps_20,pole_fps,train,staleness/metrics_logs/scenesense_runs/20260714_232855_front_fusion_tl_14/streams/fusion_tl_14_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_232855_front_fusion_tl_14/streams/fusion_tl_14_object_predictions.csv,7b839589f41f62dc060b54ae85d5ab756e942d1c41c93c2c3372aa3a062a6127,1c4e4bc163c1136b39dd7065f603eddfa1a9c7c07c26a7a54ca44dd59656f971
20260714_233005_front_fusion_tl_14,fps_30,pole_fps,train,staleness/metrics_logs/scenesense_runs/20260714_233005_front_fusion_tl_14/streams/fusion_tl_14_object_ground_truth.csv,staleness/metrics_logs/scenesense_runs/20260714_233005_front_fusion_tl_14/streams/fusion_tl_14_object_predictions.csv,ca7fc441f5484b7301d62fa9cefecb579620ae8a29a40f99d1c88bb73267adcb,1044d4801c96ae8ee91ce824b905798cae58dca108e5bbd3812cdd9aa772cf39
