sample_id,frame_id,source_prefix,collection_index,block,audit_split,density_bin
moving_ego_pps200000_crowded_8loops_stride2_000003_frame102200,102200,moving_ego_pps200000_crowded_8loops_stride2,3,0,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000021_frame102236,102236,moving_ego_pps200000_crowded_8loops_stride2,21,0,audit_validation,3-4
moving_ego_pps200000_crowded_8loops_stride2_000025_frame102244,102244,moving_ego_pps200000_crowded_8loops_stride2,25,1,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000037_frame102268,102268,moving_ego_pps200000_crowded_8loops_stride2,37,1,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000056_frame102306,102306,moving_ego_pps200000_crowded_8loops_stride2,56,2,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000057_frame102308,102308,moving_ego_pps200000_crowded_8loops_stride2,57,2,audit_test,1-2
moving_ego_pps200000_crowded_8loops_stride2_000061_frame102316,102316,moving_ego_pps200000_crowded_8loops_stride2,61,2,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000063_frame102320,102320,moving_ego_pps200000_crowded_8loops_stride2,63,2,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000076_frame102346,102346,moving_ego_pps200000_crowded_8loops_stride2,76,3,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000084_frame102362,102362,moving_ego_pps200000_crowded_8loops_stride2,84,3,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000089_frame102372,102372,moving_ego_pps200000_crowded_8loops_stride2,89,3,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000093_frame102380,102380,moving_ego_pps200000_crowded_8loops_stride2,93,3,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000113_frame102420,102420,moving_ego_pps200000_crowded_8loops_stride2,113,4,audit_validation,5+
moving_ego_pps200000_crowded_8loops_stride2_000127_frame102448,102448,moving_ego_pps200000_crowded_8loops_stride2,127,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000128_frame102450,102450,moving_ego_pps200000_crowded_8loops_stride2,128,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000131_frame102456,102456,moving_ego_pps200000_crowded_8loops_stride2,131,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000135_frame102464,102464,moving_ego_pps200000_crowded_8loops_stride2,135,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000137_frame102468,102468,moving_ego_pps200000_crowded_8loops_stride2,137,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000140_frame102474,102474,moving_ego_pps200000_crowded_8loops_stride2,140,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000142_frame102478,102478,moving_ego_pps200000_crowded_8loops_stride2,142,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000143_frame102480,102480,moving_ego_pps200000_crowded_8loops_stride2,143,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000148_frame102490,102490,moving_ego_pps200000_crowded_8loops_stride2,148,5,audit_test,5+
moving_ego_pps200000_crowded_8loops_stride2_000183_frame102560,102560,moving_ego_pps200000_crowded_8loops_stride2,183,7,audit_test,3-4
moving_ego_pps200000_crowded_8loops_stride2_000198_frame102590,102590,moving_ego_pps200000_crowded_8loops_stride2,198,7,audit_test,3-4
