schema,design_id,suite_id,suite_label,split,group_id,matched_pair_id,geometry_or_route_id,geometry_or_route_status,hazard_class,closing_speed_band,time_to_hazard_band,traffic_density,traffic_density_status,ambient_population_mode,ambient_population_process_required,weather,renderer_quality_level,renderer_server_launch_flag,renderer_contract_role,carla_seed,traffic_seed,sensor_seed,raw_retention_tier,raw_window_duration_s,raw_window_anchor,confirmatory_locked,pair_contract_id,route_start_anchor_id,recipient_start_index,helper_start_index,recipient_route_sha256,helper_route_sha256,trajectory_id,scenario_role,controlled_hazard_present
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,calibration,sa_curbside_bus_occluded_pedestrian_low_short_r00,sa_curbside_bus_occluded_pedestrian_low_short_r00,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,1305997159,1802998968,15395697,inputs_plus_logits_window,4.0,registered_conflict_minus_2s_or_middle_if_unregistered,0,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r00_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,calibration,sa_curbside_bus_occluded_pedestrian_low_short_r00,sa_curbside_bus_occluded_pedestrian_low_short_r00,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,1305997159,1802998968,15395697,inputs_plus_logits_window,4.0,registered_conflict_minus_2s_or_middle_if_unregistered,0,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r00_ben,matched_benign_negative,0
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,validation,sa_curbside_bus_occluded_pedestrian_low_short_r01,sa_curbside_bus_occluded_pedestrian_low_short_r01,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,260027793,1342881817,2118000090,inputs_only_window,4.0,registered_conflict_minus_2s_or_middle_if_unregistered,0,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r01_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,validation,sa_curbside_bus_occluded_pedestrian_low_short_r01,sa_curbside_bus_occluded_pedestrian_low_short_r01,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,260027793,1342881817,2118000090,inputs_only_window,4.0,registered_conflict_minus_2s_or_middle_if_unregistered,0,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r01_ben,matched_benign_negative,0
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_short_r02,sa_curbside_bus_occluded_pedestrian_low_short_r02,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,867804699,21268189,577995372,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r02_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_short_r02,sa_curbside_bus_occluded_pedestrian_low_short_r02,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,867804699,21268189,577995372,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r02_ben,matched_benign_negative,0
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_short_r03,sa_curbside_bus_occluded_pedestrian_low_short_r03,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,846025523,1846850598,1360611181,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r03_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_short_r03,sa_curbside_bus_occluded_pedestrian_low_short_r03,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,846025523,1846850598,1360611181,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r03_ben,matched_benign_negative,0
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_short_r04,sa_curbside_bus_occluded_pedestrian_low_short_r04,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,795396570,985220734,978149946,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r04_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_short_r04,sa_curbside_bus_occluded_pedestrian_low_short_r04,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,short,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,795396570,985220734,978149946,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_short_r04_ben,matched_benign_negative,0
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,calibration,sa_curbside_bus_occluded_pedestrian_low_long_r00,sa_curbside_bus_occluded_pedestrian_low_long_r00,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,long,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,1640145251,2019459337,1543595720,inputs_only_window,4.0,registered_conflict_minus_2s_or_middle_if_unregistered,0,,,,,,,sa_curbside_bus_occluded_pedestrian_low_long_r00_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,calibration,sa_curbside_bus_occluded_pedestrian_low_long_r00,sa_curbside_bus_occluded_pedestrian_low_long_r00,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,long,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,1640145251,2019459337,1543595720,inputs_only_window,4.0,registered_conflict_minus_2s_or_middle_if_unregistered,0,,,,,,,sa_curbside_bus_occluded_pedestrian_low_long_r00_ben,matched_benign_negative,0
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,validation,sa_curbside_bus_occluded_pedestrian_low_long_r01,sa_curbside_bus_occluded_pedestrian_low_long_r01,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,long,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,108625321,1238600528,1883851984,inputs_only_window,4.0,registered_conflict_minus_2s_or_middle_if_unregistered,0,,,,,,,sa_curbside_bus_occluded_pedestrian_low_long_r01_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,validation,sa_curbside_bus_occluded_pedestrian_low_long_r01,sa_curbside_bus_occluded_pedestrian_low_long_r01,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,long,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,108625321,1238600528,1883851984,inputs_only_window,4.0,registered_conflict_minus_2s_or_middle_if_unregistered,0,,,,,,,sa_curbside_bus_occluded_pedestrian_low_long_r01_ben,matched_benign_negative,0
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_long_r02,sa_curbside_bus_occluded_pedestrian_low_long_r02,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,long,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,2004517920,1372498796,235283072,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_long_r02_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_long_r02,sa_curbside_bus_occluded_pedestrian_low_long_r02,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,long,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,2004517920,1372498796,235283072,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_long_r02_ben,matched_benign_negative,0
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_long_r03,sa_curbside_bus_occluded_pedestrian_low_long_r03,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,long,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,65363454,1252417114,1638402530,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_long_r03_pos,controlled_positive_occlusion,1
scenesense.phase2_suite_design_manifest.v1,phase2_suite_ab_v1,A,designed_decision_opportunities,test,sa_curbside_bus_occluded_pedestrian_low_long_r03,sa_curbside_bus_occluded_pedestrian_low_long_r03,curbside_bus_occluded_pedestrian,reviewed_pilot_geometry,pedestrian,low,long,not_applicable,not_applicable,scenario_owned_only,0,ClearNoon,Epic,-quality-level=Epic,primary,65363454,1252417114,1638402530,causal_lightweight_only,0.0,none,1,,,,,,,sa_curbside_bus_occluded_pedestrian_low_long_r03_ben,matched_benign_negative,0
