ego_x,ego_y,ego_z
0.500000000,72.400000000,0.000000000
1.500000000,72.250000000,0.000000000
2.500000000,71.800000000,0.000000000
3.500000000,71.100000000,0.000000000
4.500000000,70.350000000,0.000000000
5.500000000,69.750000000,0.000000000
6.500000000,69.757000000,0.000000000
7.500000000,69.758000000,0.000000000
8.500000000,69.759000000,0.000000000
9.500000000,69.761000000,0.000000000
10.500000000,69.762000000,0.000000000
11.500000000,69.763000000,0.000000000
12.500000000,69.765000000,0.000000000
13.500000000,69.766000000,0.000000000
14.500000000,69.767000000,0.000000000
15.500000000,69.769000000,0.000000000
16.500000000,69.770000000,0.000000000
17.500000000,69.771000000,0.000000000
18.500000000,69.772000000,0.000000000
19.500000000,69.774000000,0.000000000
20.500000000,69.775000000,0.000000000
21.500000000,69.776000000,0.000000000
22.500000000,69.777000000,0.000000000
