episode_id,run_group,scenario_family,split,ground_truth_path,prediction_path,ground_truth_sha256,prediction_sha256
pcvv2_dense_te01,policy_corpus_vehicle_v2__test__dense__01,dense_urban,test,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_te01/streams/fusion_ego_994_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_te01/streams/fusion_ego_994_object_predictions.csv,4934f36d6d509b7a2fa47302d6fdf0c65c935bf666cf9b2c17a7646f13d3a429,e79a2a461e65cae3971d4bd2e7b1a87f80b3fb353d89c684e268eb3683572330
pcvv2_dense_te02,policy_corpus_vehicle_v2__test__dense__02,dense_urban,test,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_te02/streams/fusion_ego_1057_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_te02/streams/fusion_ego_1057_object_predictions.csv,6401bee8946e26adedf14170fbd122959eb89ac7c2d1830e5ef18619d62ea44e,1bc728ed64c44bbfc01c34b24970eb4ba09330e7d1a80eada45c0f4984a09142
pcvv2_dense_tr01,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_tr01/streams/fusion_ego_622_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_tr01/streams/fusion_ego_622_object_predictions.csv,cd5ab625b9a000b769010dcb020077d48716075d7f581a3c9bf9f763b3c4aa3e,7412a750044e87b0460676961cd6d8b8bafe1f7b4205123c5a8ba7faed66f70a
pcvv2_dense_tr02,policy_corpus_vehicle_v2__train__dense__02,dense_urban,train,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_tr02/streams/fusion_ego_684_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_tr02/streams/fusion_ego_684_object_predictions.csv,8c956aeac23582e0a8583fd5b7520c99d24b28ff54769756f5756d82c639709c,9165cb88a7c882b21eb4faafbf5708fe039911bdddc3f44ef798496aeeb38103
pcvv2_dense_tr03,policy_corpus_vehicle_v2__train__dense__03,dense_urban,train,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_tr03/streams/fusion_ego_745_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_tr03/streams/fusion_ego_745_object_predictions.csv,e7e26e4dd70efe6d048cd7e902f163d7babf853e7b0f888f830976dcf8bf52b9,f1bdcad32d4da0558d76edab60b2b65875a4c06e2bb2f61e88e8f303c6c29a0c
pcvv2_dense_tr04,policy_corpus_vehicle_v2__train__dense__04,dense_urban,train,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_tr04/streams/fusion_ego_806_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_tr04/streams/fusion_ego_806_object_predictions.csv,ecfd301192db40329f7d9c1d7a33293ddf61932189b871acd34f739f2f951388,e42d5199ac2028fb6552385216610c89dfa2db779480b2108b596eade4b54694
pcvv2_dense_va01,policy_corpus_vehicle_v2__validation__dense__01,dense_urban,validation,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_va01/streams/fusion_ego_869_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_va01/streams/fusion_ego_869_object_predictions.csv,7a36bc2079e1f0dc05b61c642c20eebac47d2c7707d687679d9b5ac1e22c99b3,1e33ae0bd3f10f6c47665a9690b113e2fd0b91ec041487b827972437caf531e6
pcvv2_dense_va02,policy_corpus_vehicle_v2__validation__dense__02,dense_urban,validation,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_va02/streams/fusion_ego_932_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_dense_va02/streams/fusion_ego_932_object_predictions.csv,1c5823d01879a482ce6cb5af86a229ec4337084b3f18c723bf99d1e26663d136,914422f213e54ba17c3225f884b4efc2351cad53d4c7ee94e0c58170ba87462a
pcvv2_fast_te01,policy_corpus_vehicle_v2__test__exact_fast__01,exact_fast_convoy,test,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_fast_te01/streams/fusion_ego_1142_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_fast_te01/streams/fusion_ego_1142_object_predictions.csv,164fc98b8f12f18bb5e43fd6312cebb5f331b1958e22b6fc32924cfbd4925520,da6284cb7ede9cc09c7c885bd83b34a2b0a9a067bd7ef8ff27d6c002b17e4784
pcvv2_fast_te02,policy_corpus_vehicle_v2__test__exact_fast__02,exact_fast_convoy,test,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_fast_te02/streams/fusion_ego_1146_object_ground_truth.csv,data_collection/experiments/policy_corpus_vehicle_v2/20260811_110400_full/runs/pcvv2_fast_te02/streams/fusion_ego_1146_object_predictions.csv,67c02c42de76c8a54cc1c3f3c8d8f66ed4e8a6a7ca59bbd26e740d30dee967df,4f2c36d23c0f81aed2445f6e1016fdb4d78f457dc86a4a3aa5b79839baf8b1ac
