cell_id,profile_role,display_profile_id,profile_id,candidate_tier,p95_payload_kib,network_regime,achieved_snr_db_reference,mcs_reference,capacity_reference_mbps,feature_offer_mbps_at_10hz,estimated_udp_ip_offer_mbps_at_10hz,load_ratio,screening_status,evidence_status,new_measurement_plan,measurement_authorized
rescue_clear,degraded_rescue,ae32/u4/q0.9,ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,DEGRADED_RESCUE,19.802,clear,50.3,28,36.683697,1.622188,1.625068,0.044299,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,INFER_TRANSPORT_FEASIBILITY_ONLY_AFTER_DIRECT_ANCHORS,false
rescue_mild,degraded_rescue,ae32/u4/q0.9,ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,DEGRADED_RESCUE,19.802,mild,19.5,24,27.778469,1.622188,1.625068,0.058501,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,INFER_TRANSPORT_FEASIBILITY_ONLY_AFTER_DIRECT_ANCHORS,false
rescue_mid,degraded_rescue,ae32/u4/q0.9,ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,DEGRADED_RESCUE,19.802,mid,15.6,19,19.711695,1.622188,1.625068,0.082442,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,INFER_TRANSPORT_FEASIBILITY_ONLY_AFTER_DIRECT_ANCHORS,false
rescue_poor,degraded_rescue,ae32/u4/q0.9,ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,DEGRADED_RESCUE,19.802,poor,8.2,9,10.390025,1.622188,1.625068,0.156407,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,CONDITIONAL_ONLY_IF_NO_NORMAL_PROFILE_IS_FEASIBLE,false
compact_clear,compact_normal,ae32/u4/q0.5,ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,NORMAL,51.879,clear,50.3,28,36.683697,4.249948,4.252828,0.115932,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,INFER_TRANSPORT_FEASIBILITY_ONLY_AFTER_DIRECT_ANCHORS,false
compact_mild,compact_normal,ae32/u4/q0.5,ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,NORMAL,51.879,mild,19.5,24,27.778469,4.249948,4.252828,0.153098,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,INFER_TRANSPORT_FEASIBILITY_ONLY_AFTER_DIRECT_ANCHORS,false
compact_mid,compact_normal,ae32/u4/q0.5,ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,NORMAL,51.879,mid,15.6,19,19.711695,4.249948,4.252828,0.215752,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,INFER_TRANSPORT_FEASIBILITY_ONLY_AFTER_DIRECT_ANCHORS,false
compact_poor,compact_normal,ae32/u4/q0.5,ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,NORMAL,51.879,poor,8.2,9,10.390025,4.249948,4.252828,0.409318,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,CONDITIONAL_IF_BALANCED_POOR_FAILS_OR_BORDERS,false
balanced_clear,balanced_normal,ae64/u4/q0.5,ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,NORMAL,66.478,clear,50.3,28,36.683697,5.445848,5.451608,0.148611,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,INFER_TRANSPORT_FEASIBILITY_ONLY_AFTER_DIRECT_ANCHORS,false
balanced_mild,balanced_normal,ae64/u4/q0.5,ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,NORMAL,66.478,mild,19.5,24,27.778469,5.445848,5.451608,0.196253,PROJECTED_BELOW_CAPACITY,COMPOSED_NOT_DIRECT_10HZ,INFER_TRANSPORT_FEASIBILITY_ONLY_AFTER_DIRECT_ANCHORS,false
